id,name,year,count
63f627a9d8966ef293f0f0e9,Acorn Industrial,2018,6
63f627a9d8966ef293f0f0e9,Acorn Industrial,2019,7
63f627a9d8966ef293f0f0e9,Acorn Industrial,2020,8
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,9
63f627aad8966ef293f0f0ea,Adams Point,1989,72
63f627aad8966ef293f0f0ea,Adams Point,1990,62
63f627aad8966ef293f0f0ea,Adams Point,1991,64
63f627aad8966ef293f0f0ea,Adams Point,1992,69
63f627aad8966ef293f0f0ea,Adams Point,1993,66
63f627aad8966ef293f0f0ea,Adams Point,1994,67
63f627aad8966ef293f0f0ea,Adams Point,1995,65
63f627aad8966ef293f0f0ea,Adams Point,1996,60
63f627aad8966ef293f0f0ea,Adams Point,1997,55
63f627aad8966ef293f0f0ea,Adams Point,1998,65
63f627aad8966ef293f0f0ea,Adams Point,1999,57
63f627aad8966ef293f0f0ea,Adams Point,2000,60
63f627aad8966ef293f0f0ea,Adams Point,2001,61
63f627aad8966ef293f0f0ea,Adams Point,2002,54
63f627aad8966ef293f0f0ea,Adams Point,2003,54
63f627aad8966ef293f0f0ea,Adams Point,2004,45
63f627aad8966ef293f0f0ea,Adams Point,2005,50
63f627aad8966ef293f0f0ea,Adams Point,2006,50
63f627aad8966ef293f0f0ea,Adams Point,2007,51
63f627aad8966ef293f0f0ea,Adams Point,2008,56
63f627aad8966ef293f0f0ea,Adams Point,2009,50
63f627aad8966ef293f0f0ea,Adams Point,2010,49
63f627aad8966ef293f0f0ea,Adams Point,2011,46
63f627aad8966ef293f0f0ea,Adams Point,2012,51
63f627aad8966ef293f0f0ea,Adams Point,2013,51
63f627aad8966ef293f0f0ea,Adams Point,2014,52
63f627aad8966ef293f0f0ea,Adams Point,2015,52
63f627aad8966ef293f0f0ea,Adams Point,2016,55
63f627aad8966ef293f0f0ea,Adams Point,2017,57
63f627aad8966ef293f0f0ea,Adams Point,2018,51
63f627aad8966ef293f0f0ea,Adams Point,2019,53
63f627aad8966ef293f0f0ea,Adams Point,2020,56
63f627aad8966ef293f0f0ea,Adams Point,2021,57
63f627e3d8966ef293f0f179,Albany Terrace,1989,12
63f627e3d8966ef293f0f179,Albany Terrace,1990,12
63f627e3d8966ef293f0f179,Albany Terrace,1991,10
63f627e3d8966ef293f0f179,Albany Terrace,1992,9
63f627e3d8966ef293f0f179,Albany Terrace,1993,12
63f627e3d8966ef293f0f179,Albany Terrace,1994,10
63f627e3d8966ef293f0f179,Albany Terrace,1995,8
63f627e3d8966ef293f0f179,Albany Terrace,1996,10
63f627e3d8966ef293f0f179,Albany Terrace,1997,8
63f627e3d8966ef293f0f179,Albany Terrace,1998,11
63f627e3d8966ef293f0f179,Albany Terrace,1999,9
63f627e3d8966ef293f0f179,Albany Terrace,2000,8
63f627e3d8966ef293f0f179,Albany Terrace,2001,9
63f627e3d8966ef293f0f179,Albany Terrace,2002,8
63f627e3d8966ef293f0f179,Albany Terrace,2003,9
63f627e3d8966ef293f0f179,Albany Terrace,2004,10
63f627e3d8966ef293f0f179,Albany Terrace,2005,7
63f627e3d8966ef293f0f179,Albany Terrace,2006,6
63f627e3d8966ef293f0f179,Albany Terrace,2007,8
63f627e3d8966ef293f0f179,Albany Terrace,2008,6
63f627e3d8966ef293f0f179,Albany Terrace,2009,7
63f627e3d8966ef293f0f179,Albany Terrace,2010,6
63f627e3d8966ef293f0f179,Albany Terrace,2011,6
63f627e3d8966ef293f0f179,Albany Terrace,2012,6
63f627e3d8966ef293f0f179,Albany Terrace,2013,7
63f627e3d8966ef293f0f179,Albany Terrace,2014,8
63f627e3d8966ef293f0f179,Albany Terrace,2015,6
63f627e3d8966ef293f0f179,Albany Terrace,2016,6
63f627e3d8966ef293f0f179,Albany Terrace,2017,7
63f627e3d8966ef293f0f179,Albany Terrace,2018,8
63f627e3d8966ef293f0f179,Albany Terrace,2019,7
63f627e3d8966ef293f0f179,Albany Terrace,2020,8
63f627e3d8966ef293f0f179,Albany Terrace,2021,7
63f627aad8966ef293f0f0eb,Allendale,1989,7
63f627aad8966ef293f0f0eb,Allendale,1990,6
63f627aad8966ef293f0f0eb,Allendale,1991,6
63f627aad8966ef293f0f0eb,Allendale,1992,5
63f627aad8966ef293f0f0eb,Allendale,1993,7
63f627aad8966ef293f0f0eb,Allendale,1994,6
63f627aad8966ef293f0f0eb,Allendale,1995,6
63f627aad8966ef293f0f0eb,Allendale,1996,6
63f627aad8966ef293f0f0eb,Allendale,1997,6
